player_id,team_id,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
903,29,15,7,0,0,0,0
111,34,14,3,1,0,0,0
49,20,13,4,1,0,0,0
920,5,12,3,0,0,0,0
689,41,12,8,0,0,0,7
1028,43,11,2,0,0,0,0
362,6,11,3,1,0,0,1
24,19,11,3,1,0,0,1
1029,10,10,4,1,0,0,0
797,34,10,9,2,0,0,0
253,2,9,3,1,0,0,0
448,10,9,8,1,0,0,0
614,34,9,6,1,0,0,0
267,10,9,1,0,0,0,3
353,2,9,5,0,0,0,1
342,18,9,13,1,0,0,0
193,5,9,2,1,0,0,0
619,18,9,16,1,0,0,1
1151,5,9,0,0,0,0,0
195,43,9,11,2,1,1,4
1039,41,9,6,0,0,0,1
53,41,9,7,1,0,0,2
1023,43,8,3,0,0,0,1
462,3,8,1,1,0,0,0
175,48,8,4,0,0,0,0
337,48,8,4,0,0,0,1
218,33,8,3,1,0,0,0
1195,46,8,2,1,0,0,0
691,2,8,5,1,0,0,2
622,2,8,3,0,0,0,2
240,46,8,3,1,0,0,0
1078,11,8,1,1,0,0,0
505,29,8,3,0,0,0,3
719,9,8,8,2,0,0,0
1030,9,8,13,1,0,0,1
756,17,8,1,2,0,0,0
461,18,8,9,0,0,0,2
277,32,7,2,0,0,0,0
1156,5,7,2,1,0,0,0
809,5,7,2,1,0,0,0
994,13,7,6,1,0,0,1
1224,5,7,10,0,0,0,1
370,18,7,11,0,0,0,0
1120,4,7,3,2,0,0,0
699,27,7,3,0,0,0,0
1065,24,7,4,2,0,0,0
538,36,7,0,1,0,0,0
472,25,7,0,0,0,0,0
894,37,7,2,1,0,0,0
722,42,7,4,1,0,0,0
990,41,7,6,0,0,0,0
757,41,7,2,1,0,0,3
514,6,7,0,0,0,0,0
269,7,7,1,2,0,0,1
25,47,7,5,0,1,0,1
732,10,7,8,1,0,0,1
44,16,7,0,2,0,0,0
1013,28,7,2,0,0,0,2
1041,47,7,5,1,0,0,0
555,28,7,3,0,0,0,0
729,10,7,9,0,0,0,9
401,12,7,2,1,0,0,1
18,29,7,16,1,0,0,0
585,21,7,7,0,0,0,1
781,22,7,6,0,0,0,0
207,21,7,3,2,0,0,0
684,21,7,1,0,0,0,0
440,12,6,5,1,0,0,0
127,21,6,4,0,0,0,4
1214,17,6,3,2,0,0,0
1025,22,6,4,0,0,0,0
786,21,6,4,0,0,0,0
703,22,6,1,0,0,0,0
878,17,6,5,0,0,0,2
4,48,6,4,0,0,0,0
687,15,6,2,1,0,0,0
1091,6,6,4,0,0,0,0
1035,15,6,0,0,0,0,0
8,48,6,0,2,0,0,0
1055,43,6,6,0,0,0,2
97,6,6,3,1,0,0,0
65,32,6,2,0,0,0,2
624,32,6,1,0,0,0,0
1052,35,6,3,1,0,0,0
121,13,6,4,0,0,0,0
912,18,6,4,1,0,0,0
896,5,6,1,0,1,0,0
296,30,6,3,0,0,0,1
752,19,6,7,1,0,0,0
1206,4,6,0,0,0,0,0
284,19,6,4,0,0,0,0
676,4,6,3,1,0,0,3
406,30,6,6,0,0,0,0
1080,32,6,2,0,0,0,0
563,35,6,2,0,0,0,1
621,19,6,5,0,0,0,1
685,19,6,9,1,0,0,5
154,25,6,4,0,0,0,1
132,25,6,2,0,0,0,0
1032,25,6,5,0,0,0,0
1016,1,6,4,0,0,0,0
714,2,6,4,1,0,0,0
282,10,6,5,1,0,0,1
429,2,6,1,0,0,0,1
69,2,6,10,0,0,0,0
546,10,6,5,1,0,0,0
220,7,6,6,2,0,0,0
626,14,6,3,2,0,0,0
1137,6,5,2,0,1,0,0
1059,30,5,3,0,0,0,0
1024,35,5,3,2,0,0,0
361,32,5,3,0,0,0,0
405,32,5,3,0,0,0,0
873,18,5,3,0,0,0,2
767,18,5,1,0,0,0,1
831,30,5,1,1,0,0,0
525,20,5,11,1,0,0,0
723,19,5,2,0,0,0,0
584,20,5,1,0,0,0,0
928,13,5,0,0,0,0,2
853,17,5,13,0,0,0,1
924,9,5,1,1,0,0,0
1119,40,5,1,0,1,0,0
582,9,5,5,1,0,0,0
1132,9,5,8,0,0,0,2
216,22,5,3,1,0,0,2
866,17,5,3,2,0,0,0
258,9,5,1,2,0,0,3
1118,29,5,6,0,0,0,2
1135,9,5,5,0,0,0,1
271,22,5,3,1,0,0,0
898,9,5,2,1,0,0,0
89,9,5,4,1,0,0,0
658,8,5,3,1,0,0,0
403,22,5,4,1,0,0,2
184,29,5,5,1,0,0,0
688,39,5,3,1,0,0,0
388,41,5,2,1,0,0,2
708,38,5,10,0,0,0,0
309,43,5,4,0,0,0,0
264,43,5,16,0,0,0,4
408,42,5,7,1,0,0,0
14,48,5,1,0,0,0,0
693,38,5,3,0,0,0,1
265,41,5,8,0,0,0,0
50,3,5,4,1,0,0,0
835,41,5,5,0,0,0,0
910,43,5,6,1,0,0,0
1235,43,5,4,0,0,0,0
598,33,5,1,0,0,0,0
303,34,5,1,2,0,0,0
435,16,5,4,1,0,0,0
251,33,5,5,0,0,0,1
558,10,5,0,1,0,0,0
332,28,5,2,1,0,0,0
1027,46,5,2,0,0,0,2
623,28,5,7,0,0,0,1
998,16,5,4,1,1,0,0
869,16,5,4,1,0,0,0
1015,7,5,4,0,0,0,1
1092,46,5,7,1,0,0,0
695,2,5,2,1,0,0,0
593,28,5,1,1,0,0,1
556,10,5,2,1,0,0,0
200,28,5,3,1,0,0,0
1172,46,5,6,1,0,0,0
1134,25,5,2,0,0,0,0
850,37,5,0,1,0,0,0
1223,11,5,9,0,0,0,1
330,11,5,3,0,0,0,0
931,26,5,4,0,0,0,0
746,26,4,2,0,0,0,0
329,36,4,2,0,0,0,1
1088,37,4,2,1,0,0,0
1218,26,4,0,1,0,0,0
899,11,4,8,1,0,0,0
1105,24,4,0,1,0,0,1
1007,1,4,0,1,0,0,0
530,8,4,2,0,0,0,0
471,1,4,1,1,0,0,0
1202,8,4,2,0,0,0,0
474,36,4,0,0,1,0,0
635,25,4,1,1,0,0,0
1004,1,4,2,0,0,0,0
298,8,4,1,0,0,0,0
74,44,4,2,0,0,0,0
544,22,4,5,1,0,0,0
1144,40,4,10,0,0,0,0
297,9,4,3,1,0,0,0
679,39,4,6,0,0,0,0
970,39,4,2,1,0,0,0
1000,9,4,2,0,0,0,0
939,29,4,6,0,0,0,0
1063,39,4,10,0,0,0,3
1143,40,4,0,1,0,0,0
458,44,4,15,0,0,0,0
510,29,4,1,3,0,0,0
664,40,4,10,0,0,0,1
145,40,4,6,1,0,0,2
1113,29,4,2,0,0,0,0
1210,44,4,1,0,0,0,1
999,21,4,0,0,0,0,0
715,14,4,1,1,0,0,0
630,14,4,1,1,0,0,0
653,6,4,6,0,0,0,1
925,6,4,0,1,0,0,0
826,19,4,16,1,0,0,0
1188,35,4,5,0,0,0,0
989,35,4,3,0,0,0,0
1200,19,4,0,0,0,0,0
807,19,4,0,0,0,0,1
533,30,4,2,0,0,0,0
198,30,4,3,0,0,0,2
148,19,4,3,1,0,0,0
696,5,4,8,0,0,0,1
551,5,4,18,0,0,0,0
900,20,4,1,0,0,0,0
734,13,4,3,1,0,0,0
205,18,4,7,0,0,0,3
984,4,4,1,0,0,0,0
977,32,4,2,1,0,0,0
513,13,4,1,2,0,0,0
123,18,4,10,0,0,0,0
492,13,4,3,0,0,0,1
599,33,4,3,1,0,0,1
929,16,4,3,0,0,0,0
1186,7,4,10,0,0,0,3
911,2,4,2,0,0,0,1
374,7,4,0,1,0,0,0
352,16,4,7,0,0,0,2
227,28,4,4,0,1,0,0
204,7,4,7,0,0,0,0
410,7,4,4,0,0,0,0
600,33,4,2,0,0,0,0
922,2,4,13,0,0,0,2
128,46,4,1,1,0,0,0
110,33,4,0,1,0,0,0
610,22,4,4,1,0,0,0
1213,42,4,8,1,0,0,0
291,43,4,0,2,0,0,1
854,3,4,2,0,0,0,1
753,43,4,4,0,0,0,0
391,31,4,1,0,0,0,0
1184,42,4,7,1,0,0,1
22,15,4,4,0,0,0,0
776,31,4,0,1,0,0,0
224,43,4,2,0,0,0,0
586,3,4,4,1,0,0,0
61,42,4,1,0,0,0,5
905,3,4,5,0,0,0,0
209,31,4,1,1,0,0,0
437,43,4,12,2,0,0,0
234,38,4,2,0,0,0,0
1189,15,4,3,0,0,0,1
157,41,4,2,1,0,0,0
981,41,4,2,1,0,0,0
172,45,4,1,0,0,0,2
987,41,3,5,1,0,0,1
343,42,3,1,0,0,0,0
573,43,3,3,0,0,0,1
983,3,3,2,0,0,0,0
1061,31,3,3,0,0,0,0
720,43,3,1,0,0,0,0
1163,15,3,1,0,0,0,2
518,3,3,3,1,0,0,0
836,41,3,4,0,0,0,0
569,31,3,0,0,0,0,0
133,45,3,10,0,0,0,2
340,31,3,2,1,0,0,0
968,45,3,0,0,0,0,0
1140,3,3,0,0,0,0,0
1090,38,3,0,0,0,0,0
1182,42,3,0,0,0,0,0
500,42,3,3,1,0,0,0
176,38,3,1,0,0,0,0
1103,48,3,2,1,0,0,0
372,43,3,6,0,0,0,0
553,42,3,0,0,0,0,0
737,15,3,3,0,0,0,0
180,42,3,0,0,0,0,0
830,43,3,2,0,0,0,0
181,6,3,2,0,0,0,0
1130,14,3,13,0,0,0,0
694,14,3,3,1,0,0,0
98,6,3,3,0,0,0,0
620,14,3,4,0,0,0,2
814,24,3,5,0,0,0,2
82,24,3,0,1,0,0,1
1072,24,3,0,0,0,0,1
101,23,3,0,2,0,0,0
852,36,3,0,0,0,0,0
818,23,3,8,1,0,0,0
644,25,3,1,0,0,0,1
378,1,3,2,1,0,0,1
485,23,3,5,0,0,0,0
1228,25,3,1,0,0,0,0
1070,37,3,4,1,0,0,1
1233,23,3,2,1,0,0,0
221,27,3,0,0,0,0,0
334,26,3,1,0,0,0,0
907,11,3,4,0,0,0,1
702,27,3,1,0,0,0,0
152,11,3,3,0,0,0,0
1054,22,3,4,0,0,0,0
710,9,3,1,1,0,0,0
1022,40,3,2,0,0,0,0
812,40,3,4,0,0,0,1
190,29,3,10,0,0,0,0
1011,44,3,0,1,0,0,0
242,12,3,5,0,0,0,0
1203,22,3,2,0,0,0,1
718,22,3,1,0,0,0,1
1020,29,3,5,1,0,0,1
162,29,3,6,0,0,0,0
107,29,3,2,0,0,0,0
1010,17,3,2,0,0,0,0
1197,12,3,1,0,0,0,0
952,17,3,8,0,0,0,0
1169,17,3,2,0,0,0,0
455,17,3,2,1,0,0,1
1138,40,3,6,2,0,0,0
167,29,3,7,1,0,0,0
844,44,3,1,0,0,0,0
882,39,3,6,0,0,0,0
360,28,3,4,0,0,0,0
892,2,3,0,0,0,0,1
375,2,3,2,1,0,0,1
