player_id,team_id,passes,passes completed,passing_accuracy,crosses,crossing_accuracy,take ons completed,defensive_linebreaks_attempted,defensive_linebreaks_accuracy,switches_of_play_attempted,switches_of_play_accuracy
1039,41,694,648,93,3,0,1,16,94,5,80
157,41,568,533,94,0,0,0,10,60,7,100
981,41,566,547,97,1,0,0,6,67,1,100
695,2,521,496,95,2,50,1,5,60,6,100
353,2,483,448,93,5,40,5,20,75,8,88
753,43,479,444,93,0,0,0,8,88,8,100
437,43,470,427,91,4,0,2,15,47,8,100
758,18,455,442,97,0,0,2,8,88,4,75
18,29,449,402,90,38,32,11,7,86,6,83
370,18,440,423,96,3,0,1,3,100,3,67
910,43,438,406,93,0,0,3,2,50,5,100
342,18,434,385,89,6,50,1,17,71,10,90
903,29,433,405,94,0,0,1,3,0,3,67
409,7,431,413,96,0,0,0,2,50,2,100
284,19,429,396,92,0,0,2,6,67,4,100
1080,32,425,412,97,2,0,1,4,75,2,100
714,2,424,401,95,3,0,2,9,67,1,100
987,41,410,364,89,14,36,2,14,71,2,100
1188,35,403,379,94,0,0,2,7,71,11,100
69,2,400,368,92,1,0,1,2,0,3,100
193,5,399,369,92,0,0,1,4,50,2,100
757,41,389,358,92,13,23,1,12,50,2,100
253,2,389,378,97,0,0,3,1,0,0,0
1009,1,385,359,93,0,0,1,8,38,1,100
38,1,382,357,93,0,0,0,5,20,10,90
777,7,380,367,97,1,100,0,4,75,6,100
584,20,375,364,97,1,0,1,3,100,1,100
606,20,368,336,91,25,20,1,9,56,2,100
782,32,367,322,88,16,19,3,18,56,0,0
282,10,361,324,90,0,0,1,10,20,6,100
533,30,360,335,93,1,0,1,5,60,4,75
826,19,360,311,86,20,25,16,26,73,2,100
756,17,357,313,88,8,38,0,15,47,8,100
621,19,349,310,89,15,13,0,7,43,0,0
1187,30,347,330,95,0,0,1,1,100,1,100
1024,35,336,320,95,0,0,1,4,50,1,100
712,2,332,261,79,41,41,22,32,63,5,80
510,29,326,299,92,0,0,0,3,0,1,100
1023,43,324,299,92,5,20,0,7,71,2,0
1200,19,315,307,97,0,0,1,1,0,2,100
167,29,315,281,89,6,33,8,17,65,3,100
24,19,311,286,92,2,0,2,11,73,1,100
990,41,305,274,90,16,31,3,12,33,7,100
1166,32,301,282,94,0,0,1,4,25,0,0
1042,2,298,274,92,12,42,2,9,67,1,100
1155,46,298,281,94,0,0,2,6,33,5,100
991,16,297,269,91,7,43,1,9,56,2,100
869,16,295,264,89,16,44,0,13,54,3,100
1028,43,295,243,82,17,18,1,24,33,4,50
269,7,294,262,89,7,29,1,6,50,1,100
240,46,291,277,95,0,0,0,2,0,2,100
448,10,290,264,91,2,0,4,4,50,3,67
882,39,290,271,93,2,50,0,1,100,4,75
558,10,285,262,92,0,0,1,6,17,12,100
54,46,283,256,90,4,0,13,9,67,4,75
679,39,283,255,90,10,40,6,4,75,1,100
849,17,282,245,87,17,24,4,9,56,1,100
941,35,282,239,85,21,29,8,17,53,4,100
1122,9,281,244,87,42,38,2,15,60,3,100
496,40,280,257,92,0,0,0,2,50,2,50
888,1,280,255,91,1,0,0,3,67,1,0
203,35,278,239,86,22,23,3,20,65,10,90
939,29,275,251,91,4,0,5,5,40,0,0
317,7,275,256,93,6,17,0,5,60,0,0
546,10,274,242,88,2,50,1,2,0,1,100
682,32,273,256,94,2,100,3,1,100,0,0
396,20,271,223,82,12,42,14,15,67,2,100
491,39,270,243,90,1,0,0,8,63,5,100
1179,41,269,219,81,0,0,0,3,33,2,100
964,19,268,214,80,35,17,9,26,62,6,83
608,13,267,241,90,0,0,3,4,0,7,71
723,19,267,237,89,16,6,0,8,50,1,100
588,18,265,190,72,0,0,0,12,42,3,33
162,29,264,237,90,0,0,6,1,100,1,100
1156,5,263,230,87,20,35,1,8,75,2,50
752,19,263,242,92,1,0,2,3,100,2,50
565,35,261,247,95,2,50,3,9,56,3,67
49,20,260,240,92,1,0,1,1,0,1,100
1214,17,260,239,92,0,0,2,1,0,1,100
1224,5,255,221,87,14,21,3,10,50,5,60
439,43,255,190,75,0,0,0,6,0,2,50
148,19,254,239,94,2,0,0,1,100,2,100
1052,35,249,233,94,0,0,1,6,33,1,100
892,2,249,215,86,6,0,1,5,40,1,100
286,18,248,225,91,36,33,2,10,50,4,75
734,13,248,225,91,9,44,2,9,44,2,100
130,20,246,230,93,1,0,0,4,25,0,0
809,5,246,203,83,16,25,3,9,44,2,100
373,41,246,220,89,7,29,0,11,64,3,100
1010,17,244,224,92,0,0,0,2,50,8,50
378,1,244,220,90,7,0,3,10,50,3,100
406,30,243,224,92,0,0,1,5,80,2,100
13,45,242,222,92,6,33,1,3,33,5,60
89,9,240,184,77,24,25,3,17,53,2,100
556,10,240,227,95,6,17,6,7,71,3,100
1201,16,238,217,91,0,0,1,2,0,0,0
184,29,238,186,78,14,14,6,23,65,2,100
1048,40,237,179,76,0,0,0,7,29,3,67
526,10,237,199,84,17,29,2,14,50,9,67
575,28,237,221,93,0,0,0,4,50,1,100
698,27,236,217,92,4,0,1,3,0,4,100
1172,46,231,211,91,0,0,0,6,67,1,100
920,5,230,197,86,8,38,0,8,0,1,100
794,47,226,213,94,3,0,1,6,50,3,100
668,27,226,221,98,0,0,1,0,0,0,0
230,29,226,212,94,0,0,1,1,0,1,100
220,7,224,200,89,4,25,1,8,50,4,100
274,4,222,198,89,1,0,0,5,80,1,0
619,18,221,185,84,9,11,12,20,45,5,100
128,46,221,181,82,18,22,10,13,46,2,50
50,3,221,177,80,1,0,1,10,60,4,75
1195,46,220,173,79,11,27,6,27,74,4,75
896,5,219,205,94,0,0,0,4,25,4,100
483,27,218,193,89,3,67,1,5,80,2,100
912,18,216,200,93,6,50,4,6,67,2,100
267,10,213,194,91,9,22,0,5,20,0,0
812,40,213,185,87,2,0,2,7,57,3,67
689,41,212,181,85,35,20,30,32,72,3,100
1216,29,211,142,67,0,0,0,9,0,0,0
348,2,211,161,76,0,0,0,8,25,0,0
1016,1,211,190,90,9,0,12,7,57,0,0
833,19,210,164,78,0,0,0,3,33,1,100
789,13,208,198,95,0,0,2,3,67,2,100
347,17,207,176,85,3,0,3,7,57,3,100
444,42,206,173,84,1,0,1,7,57,1,100
955,32,204,138,68,0,0,0,6,0,2,50
265,41,203,186,92,1,0,12,15,73,2,100
1030,9,202,167,83,4,25,2,15,60,1,100
212,10,202,157,78,0,0,0,10,20,0,0
574,10,202,161,80,12,17,0,8,38,1,100
1034,28,201,163,81,34,32,7,17,47,1,100
708,38,201,185,92,9,11,0,3,33,1,100
1182,42,200,190,95,0,0,0,3,67,1,100
204,7,200,161,81,12,17,0,15,33,4,75
259,25,200,170,85,4,50,1,6,50,3,100
699,27,200,183,92,2,50,0,3,33,1,100
769,13,200,182,91,0,0,0,1,0,1,100
696,5,199,171,86,11,45,10,11,55,4,75
685,19,199,173,87,9,11,24,26,77,9,89
360,28,199,182,91,2,100,2,2,0,5,100
462,3,199,171,86,0,0,1,8,38,3,33
472,25,199,178,89,10,20,0,11,27,2,50
622,2,198,170,86,1,0,3,2,50,4,100
1150,5,198,144,73,0,0,0,5,0,0,0
133,45,198,170,86,14,29,6,9,67,5,80
53,41,198,162,82,37,19,3,16,63,2,100
1138,40,196,176,90,3,0,1,6,50,4,100
305,8,195,158,81,0,0,0,8,13,9,44
719,9,191,170,89,1,0,0,6,67,1,0
866,17,191,169,88,2,0,2,7,29,6,100
489,12,190,172,91,1,0,0,4,50,1,100
727,7,190,162,85,5,0,2,8,63,1,100
454,45,190,171,90,10,10,0,5,60,7,86
998,16,189,160,85,15,13,2,13,31,0,0
707,20,189,161,85,11,18,7,9,44,0,0
401,12,188,165,88,4,0,2,13,46,2,50
664,40,187,168,90,5,20,3,5,20,0,0
277,32,186,162,87,7,14,3,7,43,0,0
656,5,185,153,83,21,24,5,21,48,2,100
291,43,185,160,86,14,14,3,10,70,0,0
1021,18,184,169,92,11,27,2,8,38,3,33
578,18,184,178,97,0,0,0,1,100,3,100
563,35,184,160,87,12,33,6,9,56,4,75
1004,1,183,168,92,5,40,3,3,67,0,0
598,33,183,169,92,1,0,1,1,100,2,100
31,17,182,163,90,7,14,1,11,64,0,0
423,21,182,156,86,3,0,1,6,33,2,100
997,8,182,153,84,0,0,0,7,14,5,60
517,38,180,171,95,0,0,0,2,0,1,0
296,30,179,147,82,17,29,1,13,54,0,0
405,32,178,158,89,4,25,1,5,20,1,100
110,33,178,147,83,8,0,0,7,29,5,80
922,2,177,158,89,4,25,0,7,43,0,0
301,19,175,148,85,5,40,9,14,43,2,100
386,45,175,161,92,4,0,1,9,78,1,0
977,32,174,161,93,13,38,5,1,0,2,100
1041,47,174,157,90,3,0,4,2,50,0,0
1091,6,173,141,82,9,11,1,5,20,0,0
35,3,172,142,83,8,50,3,12,42,3,33
1093,47,172,154,90,1,0,0,4,50,3,100
776,31,171,156,91,2,50,2,9,44,1,100
1149,2,170,154,91,1,0,3,2,50,2,100
227,28,170,156,92,2,0,0,5,40,2,100
297,9,170,151,89,1,0,0,2,50,1,0
139,11,169,141,83,14,21,2,6,67,5,80
555,28,167,140,84,19,21,3,11,18,2,100
729,10,166,145,87,6,17,7,14,50,10,100
1191,8,166,117,70,0,0,1,2,0,0,0
107,29,166,152,92,3,0,0,1,100,0,0
190,29,165,142,86,8,38,15,13,46,0,0
925,6,165,148,90,0,0,0,1,0,0,0
459,5,164,153,93,3,0,1,2,50,2,100
655,4,164,147,90,1,0,2,1,0,1,100
140,5,164,153,93,0,0,0,0,0,0,0
440,12,163,143,88,11,45,0,9,56,2,100
749,46,163,129,79,15,27,7,18,50,2,100
918,2,163,156,96,0,0,0,1,100,1,100
